# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-a" "/home/mimansa/RNA_PROJECT/whole_genome/Saccharomyces_cerevisiae.R64-1-1.115.gtf" "-o" "/home/mimansa/RNA_PROJECT/results/counts_pPB.txt" "/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	711	614	467	524
YDR144C	IV	744311	746101	-	1791	2249	1573	1961	1846
YDL157C	IV	174232	174588	-	357	1670	1198	1440	1200
YDL058W	IV	345665	351037	+	5373	2586	3868	2202	2299
YDL096C	IV	286998	287324	-	327	0	0	0	0
YDL155W	IV	176773	178056	+	1284	1564	1536	1386	1464
YDR147W	IV	751631	753235	+	1605	850	814	753	803
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	12234	7187	8460	8444
YDL128W	IV	232652	233887	+	1236	4932	3701	3854	3797
YDR310C	IV	1081128	1084316	-	3189	2032	2540	1804	2088
YDL160C-A	IV	169366	169608	-	243	426	285	254	227
YDR127W	IV	704484	709250	+	4767	21094	18769	20017	19126
YDR497C	IV	1443713	1445467	-	1755	47037	36604	41360	39276
YDL162C	IV	167359	167715	-	357	5	6	2	2
tS(AGA)D3	IV	1305630	1305712	+	83	0	2	0	0
YDR201W	IV	856317	856814	+	498	386	483	331	389
YDR163W	IV	781423	781950	+	528	120	291	66	116
YDL146W	IV	192750	194225	+	1476	668	476	605	642
YDR363W-A	IV	1202128	1202397	+	270	1222	1467	916	1039
YDL221W	IV	62011	62562	+	552	50	63	65	67
YDL089W	IV	296820	298274	+	1455	611	536	503	662
YDR385W	IV	1243230	1245758	+	2529	79045	53041	74243	65128
YDR331W	IV	1129588	1130823	+	1236	1205	1022	1202	1090
YDR196C	IV	850274	850999	-	726	580	654	582	706
YDR116C	IV	682724	683581	-	858	1769	1427	1350	1243
YDR001C	IV	450220	452475	-	2256	3730	2608	2851	3756
YDL230W	IV	42700	43707	+	1008	249	173	239	157
YDR160W	IV	776163	778721	+	2559	1078	1064	1078	1117
YDR123C	IV	698554	699468	-	915	688	567	464	401
YDR322W	IV	1110589	1111692	+	1104	2101	1741	1626	1655
YDR040C	IV	535192	538467	-	3276	1044	749	925	775
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	28828	18895	18664	17243
YDR046C	IV	548762	550576	-	1815	3276	4503	2952	2962
YDL057W	IV	351434	352420	+	987	402	313	291	299
YDL248W	IV	1802	2953	+	1152	490	333	384	411
YDR008C	IV	462252	462602	-	351	5	13	8	7
YDR029W	IV	501100	501414	+	315	418	660	294	447
YDR485C	IV	1424820	1427207	-	2388	416	743	331	430
YDR408C	IV	1288215	1288859	-	645	1265	747	1164	1059
YDR038C	IV	527422	530697	-	3276	614	488	638	476
YDL204W	IV	94605	95786	+	1182	579	340	253	452
YDR019C	IV	484163	485365	-	1203	1364	1203	1187	1257
YDR477W	IV	1412373	1414274	+	1902	2306	2157	2187	2459
YDR254W	IV	965113	966489	+	1377	698	600	471	648
YDR514C	IV	1471548	1472999	-	1452	616	919	575	662
YDR296W	IV	1055212	1055892	+	681	2058	1621	1787	1447
YDL216C	IV	68997	70319	-	1323	219	313	183	229
YDL100C	IV	282112	283176	-	1065	6287	5640	5778	5851
YDL068W	IV	333500	333829	+	330	3	3	1	0
YDL026W	IV	404749	405060	+	312	1	1	0	2
YDL124W	IV	240259	241197	+	939	7065	5078	4063	4953
YDL227C	IV	46271	48031	-	1761	2808	3049	2708	2340
YDL111C	IV	263313	264110	-	798	1729	1359	1420	1230
YDR324C	IV	1114433	1116763	-	2331	1638	3168	1903	2178
YDL170W	IV	156318	157904	+	1587	866	844	711	801
YDR317W	IV	1102184	1103428	+	1245	192	211	202	188
YDR436W	IV	1334821	1336953	+	2133	1313	695	1017	880
YDR208W	IV	868224	870563	+	2340	2540	2676	2306	2496
YDR386W	IV	1246084	1247982	+	1899	306	391	268	301
YDR504C	IV	1456311	1456694	-	384	244	377	148	233
YDL220C	IV	62244	65018	-	2775	493	397	418	447
YDR396W	IV	1266295	1266795	+	501	60	40	32	26
YDR258C	IV	971808	974243	-	2436	3067	2360	2173	3434
YDR176W	IV	814452	816560	+	2109	943	1196	798	933
YDL099W	IV	283419	284444	+	1026	508	834	311	482
YDR380W	IV	1234218	1236125	+	1908	2958	6112	1909	2639
YDL110C	IV	264512	264964	-	453	596	436	275	421
YDR148C	IV	753675	755066	-	1392	14865	11953	12458	13928
YDL201W	IV	99561	100421	+	861	1855	1770	1794	1623
YDL107W	IV	268921	269976	+	1056	292	376	216	316
YDR515W	IV	1473429	1474772	+	1344	467	809	375	474
YDR133C	IV	720962	721297	-	336	8938	7229	6690	6400
YDR378C	IV	1229349	1229609	-	261	1188	969	843	836
YDR473C	IV	1404445	1405854	-	1410	166	229	112	89
YDR403W	IV	1274602	1276212	+	1611	190	119	126	171
YDR268W	IV	1004004	1005143	+	1140	690	818	668	678
YDR409W	IV	1289406	1292120	+	2715	1011	889	803	900
YDR173C	IV	810565	811632	-	1068	385	280	308	429
YDR187C	IV	836228	836746	-	519	8	7	4	6
YDR389W	IV	1252537	1254501	+	1965	1384	1315	1199	1439
YDR417C	IV	1301555	1301926	-	372	5	8	6	0
YDR165W	IV	784871	786205	+	1335	1724	2153	1826	1711
YDL113C	IV	256633	258555	-	1923	1107	986	779	1041
YDR426C	IV	1321629	1322006	-	378	0	0	1	0
YDR521W	IV	1483141	1483476	+	336	0	0	0	0
YDR086C	IV	616928	617170	-	243	3582	2744	2871	3094
YDL021W	IV	413953	414888	+	936	325	210	147	224
YDR023W	IV	489508	490896	+	1389	13293	12902	13333	15801
YDR394W	IV	1261681	1262967	+	1287	4161	3303	3188	3634
YDR320C-A	IV	1108280	1108498	-	219	504	358	269	275
YDR003W-A	IV	454782	454904	+	123	162	132	123	122
YDR183W	IV	829585	830277	+	693	306	452	258	293
YDR245W	IV	952800	953981	+	1182	2850	2601	2677	2533
YDR431W	IV	1328390	1328701	+	312	2	1	0	1
YDL154W	IV	178334	181039	+	2706	313	452	275	337
YDL184C	IV	130407	130484	-	78	8276	5469	9287	8417
YDR153C	IV	766736	767971	-	1236	1450	1522	1254	1412
YDR014W-A	IV	477797	478285	+	489	9	13	6	8
YDR434W	IV	1331237	1332841	+	1605	1939	2156	1697	1941
YDL002C	IV	446967	447578	-	612	776	748	619	822
YDR225W	IV	915530	915928	+	399	16198	14160	13695	12496
YDR418W	IV	1301616	1302113	+	498	6952	4265	6483	5630
YDR224C	IV	914317	914712	-	396	12771	9212	7970	7211
YDR502C	IV	1453310	1454464	-	1155	15472	14118	13833	12984
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	17391	11075	15761	13419
YDL039C	IV	381985	384081	-	2097	208	239	171	187
YDL225W	IV	52445	54100	+	1656	1399	1961	1140	1626
YDR259C	IV	974631	975782	-	1152	297	259	231	254
YDR495C	IV	1438115	1441150	-	3036	548	1080	422	611
YDL151C	IV	183318	183899	-	582	0	0	0	0
YDR357C	IV	1189199	1189567	-	369	1176	845	643	727
YDR370C	IV	1217782	1219110	-	1329	555	748	525	615
YDR298C	IV	1058176	1058814	-	639	12554	11235	11228	11571
YDR276C	IV	1013476	1013643	-	168	6299	4288	2778	2975
YDL185C-A	IV	126608	126835	-	228	386	355	89	31
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	0	1	0	2
YDL247W	IV	5985	7814	+	1830	58	85	70	62
YDR406W	IV	1279210	1283799	+	4590	2106	1605	1614	1701
YDR273W	IV	1010176	1011273	+	1098	95	139	94	107
YDR269C	IV	1005665	1005988	-	324	1	2	0	2
YDR453C	IV	1365072	1365662	-	591	474	284	169	222
YDR383C	IV	1239960	1240676	-	717	371	350	318	380
YDR375C	IV	1225166	1226536	-	1371	1704	1460	1420	1458
YDL161W	IV	167714	169078	+	1365	900	1116	538	720
YDL051W	IV	363952	364779	+	828	2065	1895	2018	1728
YDR084C	IV	613405	614004	-	600	517	525	356	486
YDL056W	IV	352877	355378	+	2502	785	1328	762	913
YDR344C	IV	1162006	1162449	-	444	92	108	0	0
YDR320C	IV	1106095	1108101	-	2007	1224	988	1045	1053
YDR221W	IV	907330	909438	+	2109	1307	1514	1090	1192
tI(AAU)D	IV	668007	668080	-	74	2	1	0	0
YDL032W	IV	393690	394001	+	312	0	0	0	0
YDR456W	IV	1367485	1369386	+	1902	2823	2218	2079	2052
YDL036C	IV	387513	388901	-	1389	741	858	712	622
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	3	0	4	2
YDL217C	IV	67983	68606	-	624	847	790	765	710
snR63	IV	323217	323471	-	255	2971	2148	2856	2363
YDR334W	IV	1135932	1140476	+	4545	1967	3638	1834	2515
YDL049C	IV	365068	365874	-	807	1153	1272	1128	1000
YDL164C	IV	164987	167254	-	2268	1453	1477	1273	1574
YDR384C	IV	1241204	1242031	-	828	2482	2059	1754	1474
YDR149C	IV	755555	756262	-	708	2	0	3	0
YDR093W	IV	631282	636120	+	4839	5163	4864	5348	5730
YDR071C	IV	588827	589402	-	576	3467	3359	2553	2936
YDL143W	IV	199996	201582	+	1587	4427	3880	4495	4362
YDR032C	IV	504099	504695	-	597	7329	6675	5474	5393
tR(UCU)D	IV	568882	568953	+	72	0	0	0	0
YDR063W	IV	578663	579112	+	450	1498	955	929	1176
YDL166C	IV	163449	164042	-	594	665	745	707	660
YDR004W	IV	455201	456583	+	1383	364	481	370	482
YDR151C	IV	764178	765155	-	978	1045	719	775	874
YDR037W	IV	525440	527215	+	1776	14397	11997	15789	13830
YDL175C	IV	144484	145518	-	1035	733	479	519	634
YDR286C	IV	1035231	1035575	-	345	387	299	282	316
YDR172W	IV	808324	810381	+	2058	5977	6723	6219	6266
YDL174C	IV	145826	147589	-	1764	4813	2762	3863	3600
YDR080W	IV	604008	606986	+	2979	822	1314	675	1029
YDR503C	IV	1455042	1455866	-	825	582	430	418	460
YDR069C	IV	584939	587719	-	2781	593	819	610	720
YDR047W	IV	551860	552948	+	1089	3018	2470	2302	2357
YDR215C	IV	894089	894502	-	414	69	68	64	68
